City,Daylight,zipcode,HUC_NAME,savings,HUC_CODE,State,Longitude,HUC250K_ID,pop,Latitude,Timezone,GEOID10
Gober,,75443,,,,TX,-96.111103,,,33.469719,,
Golden,,75444,,,,TX,-95.56286,,,32.730279,,
Honey Grove,,75446,Bois D'arc-Island,,11140101,TX,-95.90242,1798,3180,33.589851,,75446
Ivanhoe,,75447,Bois D'arc-Island,,11140101,TX,-96.12045,1798,1080,33.774197,,75447
Klondike,,75448,Sulphur headwaters,,11140301,TX,-95.81737,1829,655,33.31215,,75448
Ladonia,,75449,Sulphur headwaters,,11140301,TX,-95.95578,1829,1186,33.427504,,75449
Lake Creek,,75450,Sulphur headwaters,,11140301,TX,-95.52546,1829,331,33.404332,,75450
Leesburg,,75451,Little Cypress,,11140307,TX,-95.11339,1877,1211,32.971224,,75451
Leonard,,75452,East Fork Trinity,,12030106,TX,-96.24782,1844,4090,33.385224,,75452
Lone Oak,,75453,Lake Fork,,12010003,TX,-95.94594,1872,3255,32.952736,,75453
Melissa,,75454,East Fork Trinity,,12030106,TX,-96.57345,1844,5699,33.277317,,75454
Mount Pleasant,,75455,White Oak Bayou,,11140303,TX,-94.9814,1854,28293,33.166739,,75455
Mount Pleasant,,75456,,,,TX,-94.967456,,,33.19045,,
Mount Vernon,,75457,White Oak Bayou,,11140303,TX,-95.21965,1854,6522,33.151104,,75457
Merit,,75458,,,,TX,-96.291572,,,33.242656,,
Howe,,75459,East Fork Trinity,,12030106,TX,-96.63523,1844,4326,33.518979,,75459
Paris,,75460,Bois D'arc-Island,,11140101,TX,-95.55958,1798,23592,33.660274,,75460
Paris,,75461,,,,TX,-95.460797,,,33.663213,,
Paris,,75462,Sulphur headwaters,,11140301,TX,-95.48589,1829,11350,33.638587,,75462
Pattonville,,75468,Lower Sulphur,,11140302,TX,-95.39817,1825,888,33.536414,,75468
Pecan Gap,,75469,Sulphur headwaters,,11140301,TX,-95.83057,1829,371,33.434737,,75469
Petty,,75470,Sulphur headwaters,,11140301,TX,-95.81202,1829,288,33.60355,,75470
Pickton,,75471,Lake Fork,,12010003,TX,-95.39527,1872,1424,33.041578,,75471
Point,,75472,Upper Sabine,,12010001,TX,-95.87967,1857,3548,32.906194,,75472
Powderly,,75473,Bois D'arc-Island,,11140101,TX,-95.50309,1798,3855,33.801663,,75473
Quinlan,,75474,Upper Sabine,,12010001,TX,-96.06999,1857,14882,32.896295,,75474
Randolph,,75475,Bois D'arc-Island,,11140101,TX,-96.25525,1798,129,33.485315,,75475
Ravenna,,75476,Bois D'arc-Island,,11140101,TX,-96.23381,1798,1304,33.695647,,75476
Roxton,,75477,Sulphur headwaters,,11140301,TX,-95.72382,1829,977,33.543006,,75477
Saltillo,,75478,White Oak Bayou,,11140303,TX,-95.36663,1854,932,33.17329,,75478
Savoy,,75479,Bois D'arc-Island,,11140101,TX,-96.34474,1798,1849,33.613097,,75479
Scroggins,,75480,Lake O'the Pines,,11140305,TX,-95.19302,1863,1646,33.04314,,75480
Sulphur Bluff,,75481,White Oak Bayou,,11140303,TX,-95.39168,1854,395,33.323467,,75481
Sulphur Springs,,75482,White Oak Bayou,,11140303,TX,-95.60102,1854,24385,33.143752,,75482
Sulphur Springs,,75483,,,,TX,-95.585464,,,33.168606,,
Westminster,,75485,,,,TX,-96.46299,,,33.362227,,
Sumner,,75486,Bois D'arc-Island,,11140101,TX,-95.76203,1798,2346,33.734091,,75486
Talco,,75487,White Oak Bayou,,11140303,TX,-95.15014,1854,1541,33.346151,,75487
Telephone,,75488,Bois D'arc-Island,,11140101,TX,-96.00418,1798,1161,33.76225,,75488
Tom Bean,,75489,East Fork Trinity,,12030106,TX,-96.48373,1844,993,33.521578,,75489
Trenton,,75490,Bois D'arc-Island,,11140101,TX,-96.3324,1798,2211,33.435618,,75490
Whitewright,,75491,Bois D'arc-Island,,11140101,TX,-96.39598,1798,4801,33.494285,,75491
Windom,,75492,Bois D'arc-Island,,11140101,TX,-96.01082,1798,516,33.566266,,75492
Winfield,,75493,Lake O'the Pines,,11140305,TX,-95.11279,1863,611,33.165327,,75493
Winnsboro,,75494,Middle Sabine,,12010002,TX,-95.28299,1879,10862,32.922912,,75494
Van Alstyne,,75495,East Fork Trinity,,12030106,TX,-96.5637,1844,7095,33.426635,,75495
Wolfe City,,75496,Sulphur headwaters,,11140301,TX,-96.05705,1829,3351,33.350543,,75496
Yantis,,75497,Lake Fork,,12010003,TX,-95.55779,1872,3350,32.906074,,75497
Savoy,,75499,,,,TX,-96.365174,,,33.602194,,
Texarkana,,75501,Lower Sulphur,,11140302,TX,-94.08984,1825,36298,33.414708,,75501
Texarkana,,75502,,,,TX,-94.055214,,,33.424125,,
Texarkana,,75503,Pecan-Waterhole,,11140106,TX,-94.09637,2250,24379,33.476844,,75503
Texarkana,,75504,,,,TX,-94.39495,,,33.476552,,
Texarkana,,75505,,,,TX,-94.0715,,,33.46238,,
Texarkana,,75507,,,,TX,-94.340437,,,33.393447,,
Annona,,75550,Lower Sulphur,,11140302,TX,-94.90585,1825,808,33.530829,,75550
Atlanta,,75551,Cross Bayou,,11140304,TX,-94.1773,1864,11007,33.118611,,75551
Avery,,75554,Pecan-Waterhole,,11140106,TX,-94.78066,2250,1806,33.563837,,75554
Bivins,,75555,Caddo Lake,,11140306,TX,-94.13542,1867,1611,32.930895,,75555
Bloomburg,,75556,Lower Sulphur,,11140302,TX,-94.05585,1825,1107,33.142532,,75556
Cookville,,75558,White Oak Bayou,,11140303,TX,-94.84359,1854,1636,33.236743,,75558
De Kalb,,75559,Lower Sulphur,,11140302,TX,-94.61355,1825,5568,33.515778,,75559
Douglassville,,75560,Lower Sulphur,,11140302,TX,-94.37468,1825,1088,33.189862,,75560
Hooks,,75561,Pecan-Waterhole,,11140106,TX,-94.2648,2250,5395,33.480224,,75561
Kildare,,75562,Caddo Lake,,11140306,TX,-94.25152,1867,176,32.941359,,75562
Linden,,75563,Caddo Lake,,11140306,TX,-94.37603,1867,4282,33.005009,,75563
Lodi,,75564,,,,TX,-94.27725,,,32.880182,,
McLeod,,75565,Caddo Lake,,11140306,TX,-94.07429,1867,361,32.950857,,75565
Marietta,,75566,Caddo Lake,,11140306,TX,-94.50853,1867,782,33.157897,,75566
Maud,,75567,Lower Sulphur,,11140302,TX,-94.31589,1825,4225,33.328596,,75567
Naples,,75568,Lower Sulphur,,11140302,TX,-94.63009,1825,2876,33.206258,,75568
Nash,,75569,Lower Sulphur,,11140302,TX,-94.12531,1825,2874,33.441774,,75569
New Boston,,75570,Lower Sulphur,,11140302,TX,-94.41954,1825,11518,33.465282,,75570
Omaha,,75571,White Oak Bayou,,11140303,TX,-94.75227,1854,2846,33.183401,,75571
Queen City,,75572,Lower Sulphur,,11140302,TX,-94.13364,1825,3491,33.210952,,75572
Redwater,,75573,Lower Sulphur,,11140302,TX,-94.25971,1825,181,33.353249,,75573
Simms,,75574,Lower Sulphur,,11140302,TX,-94.53657,1825,1868,33.328878,,75574
Texarkana,,75599,,,,TX,-94.39495,,,33.476552,,
Longview,,75601,Middle Sabine,,12010002,TX,-94.73172,1879,15849,32.505248,,75601
Longview,,75602,Middle Sabine,,12010002,TX,-94.712,1879,23286,32.474499,,75602
Longview,,75603,Middle Sabine,,12010002,TX,-94.70063,1879,5456,32.396207,,75603
Longview,,75604,Middle Sabine,,12010002,TX,-94.80692,1879,29934,32.523779,,75604
Longview,,75605,Little Cypress,,11140307,TX,-94.74353,1877,27823,32.557684,,75605
Longview,,75606,,,,TX,-94.616062,,,32.369393,,
Longview,,75607,,,,TX,-94.78349299999999,,,32.51121,,
Longview,,75608,,,,TX,-94.848063,,,32.570051,,
Longview,,75615,,,,TX,-94.78349299999999,,,32.51121,,
Avinger,,75630,Lake O'the Pines,,11140305,TX,-94.55859,1863,2588,32.854406,,75630
Beckville,,75631,Middle Sabine,,12010002,TX,-94.46427,1879,2787,32.237924,,75631
Carthage,,75633,Middle Sabine,,12010002,TX,-94.31256,1879,13977,32.145212,,75633
Cason,,75636,,,,TX,-94.81589,,,33.035716,,
Clayton,,75637,,,,TX,-94.493543,,,32.102729,,
Daingerfield,,75638,Lake O'the Pines,,11140305,TX,-94.72481,1863,6036,33.02583,,75638
De Berry,,75639,Middle Sabine,,12010002,TX,-94.1811,1879,3460,32.285877,,75639
Diana,,75640,Little Cypress,,11140307,TX,-94.69544,1877,4652,32.723482,,75640
Easton,,75641,Middle Sabine,,12010002,TX,-94.57945,1879,223,32.382771,,75641
Elysian Fields,,75642,Middle Sabine,,12010002,TX,-94.210541,1879,229,32.386275,,75642
Gary,,75643,Middle Sabine,,12010002,TX,-94.37287,1879,2074,32.019931,,75643
Gilmer,,75644,Little Cypress,,11140307,TX,-94.9577,1877,11444,32.727128,,75644
Gilmer,,75645,Little Cypress,,11140307,TX,-94.863311,1877,9778,32.690553,,75645
Gladewater,,75647,Middle Sabine,,12010002,TX,-94.94358,1879,13196,32.531814,,75647
Hallsville,,75650,Middle Sabine,,12010002,TX,-94.55839,1879,8611,32.507527,,75650
Harleton,,75651,Little Cypress,,11140307,TX,-94.54519,1877,2189,32.6941,,75651
Henderson,,75652,Middle Sabine,,12010002,TX,-94.75852,1879,16638,32.194938,,75652
Henderson,,75653,,,,TX,-94.8845,,,32.204724,,
Henderson,,75654,Upper Angelina,,12020004,TX,-94.85568,1927,12417,32.104159,,75654
Hughes Springs,,75656,Caddo Lake,,11140306,TX,-94.61948,1867,4804,32.998759,,75656
Jefferson,,75657,Caddo Lake,,11140306,TX,-94.34908,1867,8246,32.768011,,75657
Joinerville,,75658,,,,TX,-94.906515,,,32.195927,,
Jonesville,,75659,,,,TX,-94.110636,,,32.507491,,
Judson,,75660,,,,TX,-94.78349299999999,,,32.51121,,
Karnack,,75661,Caddo Lake,,11140306,TX,-94.16846,1867,2807,32.66797,,75661
Kilgore,,75662,Middle Sabine,,12010002,TX,-94.87439,1879,24536,32.387151,,75662
Kilgore,,75663,,,,TX,-94.895098,,,32.386976,,
Laird Hill,,75666,,,,TX,-94.928795,,,32.301898,,
Laneville,,75667,Upper Angelina,,12020004,TX,-94.85741,1927,1021,31.981458,,75667
Lone Star,,75668,Lake O'the Pines,,11140305,TX,-94.69722,1863,1993,32.920957,,75668
Long Branch,,75669,Middle Sabine,,12010002,TX,-94.57688,1879,606,32.03719,,75669
Marshall,,75670,Middle Sabine,,12010002,TX,-94.37958,1879,17290,32.547424,,75670
Marshall,,75671,,,,TX,-94.389476,,,32.522659,,
Marshall,,75672,Middle Sabine,,12010002,TX,-94.30704,1879,17097,32.513986,,75672
Minden,,75680,,,,TX,-94.71766,,,32.00923,,
Mount Enterprise,,75681,Upper Angelina,,12020004,TX,-94.68886,1927,2562,31.934633,,75681
New London,,75682,Middle Sabine,,12010002,TX,-94.932215,1879,473,32.25416,,75682
Ore City,,75683,Lake O'the Pines,,11140305,TX,-94.70513,1863,3914,32.809766,,75683
Overton,,75684,Middle Sabine,,12010002,TX,-94.94935,1879,7548,32.26958,,75684
Panola,,75685,,,,TX,-94.308713,,,32.183774,,
Pittsburg,,75686,Lake O'the Pines,,11140305,TX,-94.96809,1863,12985,32.97708,,75686
Price,,75687,,,,TX,-94.955432,,,32.151755,,
Scottsville,,75688,,,,TX,-94.239351,,,32.55397,,
Selman City,,75689,,,,TX,-94.935456,,,32.1826,,
Tatum,,75691,Middle Sabine,,12010002,TX,-94.53692,1879,4219,32.312616,,75691
Waskom,,75692,Cross Bayou,,11140304,TX,-94.09556,1864,5098,32.472069,,75692
White Oak,,75693,Middle Sabine,,12010002,TX,-94.86062,1879,6869,32.533965,,75693
Woodlawn,,75694,,,,TX,-94.342725,,,32.653731,,
Tyler,,75701,Upper Angelina,,12020004,TX,-95.29467,1927,34373,32.325214,,75701
Tyler,,75702,Upper Neches,,12020001,TX,-95.3071,1911,27069,32.360498,,75702
Tyler,,75703,Upper Angelina,,12020004,TX,-95.31347,1927,37166,32.264365,,75703
Tyler,,75704,Upper Neches,,12020001,TX,-95.41373,1911,8684,32.388631,,75704
